"date","product_id","product_name","category","product_type","sales_forecast","demand","actual_sales","lost_sales","promo_flag","discount","base_price","selling_price","opening_stock","inbound_qty","consumption","wastage","closing_stock","stockout_flag","pr_flag","pr_qty","po_flag","supplier_id","planned_lead_time","actual_lead_time","received_qty","delay_flag","shelf_life_days"
"1/1/2023","SKU_001","Chicken Breast","Frozen","Perishable","639","742","742","0","0","0","251.198904067241","251.198904067241","1302","0","742","58","502","0","0","0","0","SUP_3","0","0","0","0","10"
"1/2/2023","SKU_001","Chicken Breast","Frozen","Perishable","1028","866","502","364","0","0","386.488528160084","386.488528160084","502","862","502","8","854","1","1","1076","1","SUP_1","5","5","862","0","10"
"1/3/2023","SKU_001","Chicken Breast","Frozen","Perishable","299","366","366","0","0","0","414.751103768292","414.751103768292","854","0","366","11","477","0","0","0","0","SUP_2","0","0","0","0","10"
"1/4/2023","SKU_001","Chicken Breast","Frozen","Perishable","1032","1083","477","606","0","0","416.646177161358","416.646177161358","477","1431","477","21","1410","1","1","1446","1","SUP_1","2","2","1431","0","10"
"1/5/2023","SKU_001","Chicken Breast","Frozen","Perishable","252","313","313","0","0","0","266.17876512443","266.17876512443","1410","0","313","52","1045","0","0","0","0","SUP_1","0","0","0","0","10"
"1/6/2023","SKU_001","Chicken Breast","Frozen","Perishable","430","370","370","0","1","0.1779277690223527","271.755996320003","223.403058176338","1045","0","370","32","643","0","0","0","0","SUP_2","0","0","0","0","10"
"1/7/2023","SKU_001","Chicken Breast","Frozen","Perishable","908","1088","643","445","0","0","259.196572483829","259.196572483829","643","1129","643","14","1115","1","1","1137","1","SUP_3","6","6","1129","0","10"
"1/8/2023","SKU_001","Chicken Breast","Frozen","Perishable","557","548","548","0","1","0.1186376609199427","248.184844994953","218.740775508973","1115","0","548","55","512","0","0","0","0","SUP_1","0","0","0","0","10"
"1/9/2023","SKU_001","Chicken Breast","Frozen","Perishable","1064","1021","512","509","1","0.3287399188859451","405.26017570267","272.03497841447","512","771","512","22","749","1","1","832","1","SUP_3","6","6","771","0","10"
"1/10/2023","SKU_001","Chicken Breast","Frozen","Perishable","1065","1077","749","328","1","0.2901962621542243","243.91884918766","173.134510884441","749","1059","749","24","1035","1","1","1197","1","SUP_3","4","4","1059","0","10"
"1/11/2023","SKU_001","Chicken Breast","Frozen","Perishable","705","609","609","0","0","0","315.074044636422","315.074044636422","1035","0","609","39","387","0","0","0","0","SUP_1","0","0","0","0","10"
"1/12/2023","SKU_001","Chicken Breast","Frozen","Perishable","725","696","387","309","0","0","327.968218260335","327.968218260335","387","1286","387","18","1268","1","1","1498","1","SUP_3","5","6","1286","1","10"
"1/13/2023","SKU_001","Chicken Breast","Frozen","Perishable","289","251","251","0","0","0","284.869004201055","284.869004201055","1268","0","251","30","987","0","0","0","0","SUP_2","0","0","0","0","10"
